DAY,RAD,T2M,T2M_MAX,T2M_MIN,PREC,RH2M,WS2M
14/04/25,17.25,23.61,30.51,18.87,0.07,70.83,2.14
15/04/25,11.51,23.55,32.0,17.12,1.17,67.67,1.98
16/04/25,16.41,24.02,31.16,18.85,0.94,69.71,1.21
17/04/25,17.07,24.74,32.67,18.19,0.73,64.37,1.45
18/04/25,12.19,24.82,31.95,18.39,0.63,67.37,1.28
19/04/25,11.0,23.41,28.43,19.08,0.6,70.02,1.33
20/04/25,16.61,22.9,30.86,17.43,0.3,73.28,2.13
21/04/25,16.6,22.36,30.01,17.24,0.01,68.73,2.8
22/04/25,18.55,21.54,30.13,15.23,0.01,65.97,2.59
23/04/25,16.8,22.85,31.79,15.9,0.05,64.28,1.73
24/04/25,8.52,22.47,27.88,18.24,0.79,71.89,1.54
25/04/25,7.21,21.67,25.22,19.14,6.6,85.68,1.46
26/04/25,11.58,23.06,29.45,18.63,0.36,76.96,1.1
27/04/25,17.07,23.93,31.09,18.24,0.07,68.74,1.07
28/04/25,10.58,23.18,29.28,19.14,0.55,73.3,2.02
29/04/25,15.21,21.72,28.89,17.06,0.07,70.79,2.11
30/04/25,19.45,20.45,28.83,14.56,0.02,65.32,2.41
01/05/25,17.72,18.88,25.85,12.95,0.0,76.24,1.96
02/05/25,17.9,19.51,26.27,14.06,0.03,75.63,1.41
03/05/25,16.42,19.43,26.51,13.12,0.03,75.19,1.25
04/05/25,17.05,20.06,26.28,14.76,0.11,76.07,1.27
05/05/25,15.69,20.79,26.36,14.8,0.14,71.11,1.24
06/05/25,16.46,20.64,26.59,16.03,0.2,71.27,1.01
07/05/25,15.07,20.98,27.7,14.8,0.01,71.44,0.99
08/05/25,17.39,22.37,28.82,16.01,0.0,68.72,1.09
09/05/25,16.24,22.73,29.37,16.87,0.0,65.06,1.61
10/05/25,13.48,22.83,29.08,17.52,3.85,71.44,1.92
11/05/25,9.92,19.26,22.49,16.02,1.96,82.86,3.16
12/05/25,13.09,19.3,25.17,15.38,0.1,75.69,2.6
13/05/25,12.68,19.9,25.62,15.98,0.52,77.16,1.77
14/05/25,15.52,18.95,24.64,14.3,0.2,75.12,2.0
15/05/25,17.13,18.71,25.24,12.66,0.0,71.44,1.53
16/05/25,17.29,19.33,26.04,13.15,0.0,69.21,1.11
17/05/25,17.06,20.02,27.17,13.55,0.0,69.17,1.11
18/05/25,16.67,20.73,27.37,14.37,0.04,67.43,1.25
19/05/25,16.8,20.82,27.86,14.33,0.0,65.47,1.15
20/05/25,16.63,20.97,27.76,14.28,0.0,61.65,0.96
21/05/25,16.12,21.13,27.87,15.15,0.02,63.38,0.86
22/05/25,15.7,20.5,27.71,15.41,0.36,75.25,1.26
23/05/25,13.46,19.95,26.08,16.54,0.63,78.65,2.15
24/05/25,14.69,20.0,27.06,14.09,0.09,74.7,1.57
25/05/25,16.08,20.26,27.36,14.17,0.0,70.43,1.26
26/05/25,15.73,20.71,27.71,14.51,0.0,65.2,1.38
27/05/25,11.79,21.1,27.04,15.49,0.03,63.8,1.95
28/05/25,3.59,21.02,25.79,18.12,0.3,66.88,3.27
29/05/25,15.13,15.44,20.36,10.94,0.23,51.23,2.48
30/05/25,16.71,14.36,21.91,8.43,0.0,53.12,0.8
31/05/25,16.42,16.21,24.75,9.77,0.16,70.42,1.29
01/06/25,15.47,18.42,26.64,12.04,0.0,60.66,1.19
02/06/25,15.67,19.23,26.79,14.27,0.04,72.41,1.57
03/06/25,13.67,19.64,26.39,13.89,1.51,72.69,-999.0
04/06/25,15.26,21.45,28.47,14.86,0.06,69.5,-999.0
05/06/25,10.1,21.71,29.04,15.52,0.93,65.53,-999.0
06/06/25,-999.0,20.79,26.71,15.86,1.81,75.93,-999.0
07/06/25,-999.0,20.49,26.68,16.2,-999.0,77.64,-999.0
08/06/25,-999.0,20.88,27.39,15.71,-999.0,70.94,-999.0
09/06/25,-999.0,17.81,20.28,15.8,-999.0,88.99,-999.0
10/06/25,-999.0,16.81,22.87,13.01,-999.0,75.27,-999.0
11/06/25,-999.0,15.02,21.5,10.86,-999.0,75.09,-999.0
12/06/25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
13/06/25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
14/06/25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
